order_id,vendor_id,order_date,item_count,gross_order_value,delivery_fee,discount_amount,is_cancelled,payment_method,customer_id,net_order_value,affordability_score
ORD0000001,V00291,2023-04-28,2,12.84,0.55,14.51,0,card,C007460,-1.67,0.893
ORD0000002,V00671,2024-07-11,4,76.47,4.3,1.93,0,card,C005392,74.54,0.363
ORD0000003,V00412,2023-08-19,7,55.64,5.33,2.91,0,card,C004462,52.73,0.536
ORD0000004,V00615,2024-10-25,6,105.72,5.5,9.9,0,card,C011920,95.82,0.119
ORD0000005,V00897,2023-06-02,2,118.78,2.31,6.1,0,card,C008020,112.68,0.01
ORD0000006,V00281,2023-09-30,5,106.03,1.01,13.88,0,card,C003305,92.15,0.116
ORD0000007,V00043,2023-05-26,5,10.36,5.76,14.11,0,card,C011010,-3.75,0.914
ORD0000008,V00486,2023-03-15,4,113.6,4.85,10.1,0,card,C014245,103.5,0.053
ORD0000009,V00596,2023-03-03,1,16.84,2.59,6.5,0,cash,C010719,10.34,0.86
ORD0000010,V00963,2023-06-19,2,56.43,3.79,2.45,0,card,C007366,53.98,0.53
ORD0000011,V00703,2023-11-11,3,39.19,2.38,1.35,0,card,C014029,37.84,0.673
ORD0000012,V00051,2024-09-01,7,22.99,2.74,10.3,0,card,C007590,12.69,0.808
ORD0000013,V00898,2024-08-05,3,24.69,1.96,0.24,0,card,C000606,24.45,0.794
ORD0000014,V00210,2023-10-23,4,44.77,0.33,9.3,0,card,C004514,35.47,0.627
ORD0000015,V00126,2024-03-25,1,7.92,5.97,8.14,0,card,C012466,-0.22,0.934
ORD0000016,V00492,2023-05-08,2,12.44,1.43,5.53,0,wallet,C009642,6.91,0.896
ORD0000017,V00509,2024-04-24,5,87.14,1.74,1.02,1,card,C010092,86.12,0.274
ORD0000018,V00960,2024-12-06,4,77.02,1.95,15.0,0,card,C000653,62.02,0.358
ORD0000019,V00970,2023-11-08,2,16.43,1.46,10.86,0,wallet,C009436,5.57,0.863
ORD0000020,V00581,2024-12-17,2,54.72,1.95,10.66,0,cash,C006833,44.06,0.544
ORD0000021,V00777,2024-02-17,2,74.89,3.39,11.04,0,cash,C007518,63.85,0.376
ORD0000022,V00258,2023-10-06,1,16.23,0.47,11.52,0,card,C008750,4.71,0.865
ORD0000023,V00930,2024-05-27,2,116.78,0.43,0.96,0,card,C001112,115.82,0.027
ORD0000024,V00188,2024-07-06,1,102.58,2.77,1.82,0,card,C009883,100.76,0.145
ORD0000025,V00230,2024-05-20,1,31.13,4.17,8.46,0,cash,C005080,22.67,0.741
ORD0000026,V00189,2024-03-24,6,64.67,1.3,4.09,0,card,C005974,60.58,0.461
ORD0000027,V00415,2023-03-24,2,63.38,3.12,13.11,0,cash,C013483,50.27,0.472
ORD0000028,V00010,2024-09-04,6,43.43,2.64,14.52,0,card,C012974,28.91,0.638
ORD0000029,V00114,2023-02-10,5,92.36,2.71,11.55,1,card,C006380,80.81,0.23
ORD0000030,V00076,2024-03-18,6,80.7,4.2,1.02,0,cash,C014094,79.68,0.327
ORD0000031,V00676,2023-11-27,6,104.38,3.58,7.1,0,card,C005512,97.28,0.13
ORD0000032,V00502,2024-09-10,7,5.59,2.81,6.98,1,card,C009421,-1.39,0.953
ORD0000033,V00085,2023-09-14,7,74.46,1.62,7.64,1,wallet,C007853,66.82,0.379
ORD0000034,V00049,2023-01-27,7,119.17,3.51,10.09,0,card,C007385,109.08,0.007
ORD0000035,V00495,2023-04-04,2,95.76,0.82,1.83,0,card,C003818,93.93,0.202
ORD0000036,V00838,2023-08-23,5,44.6,2.49,10.26,0,card,C009988,34.34,0.628
ORD0000037,V00689,2024-11-21,4,22.95,0.81,11.95,0,card,C006307,11.0,0.809
ORD0000038,V00387,2024-08-12,3,54.25,1.91,3.27,0,card,C001542,50.98,0.548
ORD0000039,V00970,2024-08-24,4,53.79,3.81,6.74,0,card,C012777,47.05,0.552
ORD0000040,V00389,2023-01-22,1,72.31,4.71,0.6,0,card,C000514,71.71,0.397
ORD0000041,V00218,2024-11-19,4,12.6,1.41,1.09,0,wallet,C010868,11.51,0.895
ORD0000042,V00701,2023-10-03,3,49.53,3.84,7.32,0,card,C003287,42.21,0.587
ORD0000043,V00981,2024-08-13,3,103.3,1.64,12.27,0,card,C012670,91.03,0.139
ORD0000044,V00346,2023-02-11,5,79.02,2.49,3.76,0,cash,C011259,75.26,0.341
ORD0000045,V00230,2023-06-29,7,54.99,5.48,8.18,0,wallet,C004110,46.81,0.542
ORD0000046,V00255,2024-04-26,4,40.68,0.61,1.47,0,wallet,C000348,39.21,0.661
ORD0000047,V00236,2024-06-15,1,37.17,5.89,11.62,0,cash,C005622,25.55,0.69
ORD0000048,V00026,2024-10-29,6,91.07,3.85,14.27,0,card,C007703,76.8,0.241
ORD0000049,V00584,2024-03-28,6,54.3,3.65,4.89,0,card,C003369,49.41,0.547
ORD0000050,V00261,2023-10-12,1,33.32,1.28,13.13,0,card,C014886,20.19,0.722
ORD0000051,V00766,2023-07-05,5,98.46,1.17,1.1,0,card,C014697,97.36,0.179
ORD0000052,V00271,2024-08-22,6,35.54,5.53,4.17,0,wallet,C006578,31.37,0.704
ORD0000053,V00123,2024-03-22,5,12.41,0.96,7.75,0,wallet,C008871,4.66,0.897
ORD0000054,V00656,2024-10-12,6,68.03,1.03,6.64,0,card,C014811,61.39,0.433
ORD0000055,V00257,2024-05-18,6,37.09,4.19,2.91,1,card,C013909,34.18,0.691
ORD0000056,V00656,2023-04-04,4,5.56,4.22,12.14,1,card,C011949,-6.58,0.954
ORD0000057,V00421,2024-04-26,5,62.68,2.39,2.74,0,wallet,C009512,59.94,0.478
ORD0000058,V00259,2023-12-23,3,107.87,5.44,4.21,0,card,C001583,103.66,0.101
ORD0000059,V00948,2024-02-23,1,79.08,5.51,3.32,1,card,C000839,75.76,0.341
ORD0000060,V00047,2023-12-08,6,7.09,5.04,1.3,0,card,C008502,5.79,0.941
ORD0000061,V00863,2023-11-25,7,48.56,0.1,3.27,0,card,C014177,45.29,0.595
ORD0000062,V00525,2024-11-17,3,33.41,1.81,3.91,0,wallet,C012220,29.5,0.722
ORD0000063,V00888,2023-04-18,2,82.1,1.74,3.15,0,wallet,C000331,78.95,0.316
ORD0000064,V00208,2023-06-14,3,57.54,0.39,0.06,0,wallet,C004807,57.48,0.52
ORD0000065,V00311,2023-12-04,7,24.86,5.35,10.73,0,wallet,C013277,14.13,0.793
ORD0000066,V00747,2024-02-26,1,57.47,5.95,7.79,0,card,C001795,49.68,0.521
ORD0000067,V00149,2024-12-11,2,112.11,0.86,7.96,0,wallet,C011564,104.15,0.066
ORD0000068,V00834,2024-05-22,4,52.24,1.71,7.76,0,wallet,C011050,44.48,0.565
ORD0000069,V00438,2023-10-23,7,105.09,0.16,8.73,0,card,C008142,96.36,0.124
ORD0000070,V00155,2024-11-09,2,59.68,0.69,5.04,0,card,C014478,54.64,0.503
ORD0000071,V00678,2024-02-15,5,92.13,2.99,9.81,0,wallet,C005141,82.32,0.232
ORD0000072,V00090,2024-07-17,1,95.37,2.2,13.28,0,card,C007034,82.09,0.205
ORD0000073,V00698,2023-02-07,5,92.49,2.54,2.31,0,cash,C010239,90.18,0.229
ORD0000074,V00830,2024-04-10,3,78.43,3.99,12.13,0,card,C010472,66.3,0.346
ORD0000075,V00358,2023-04-01,4,114.54,0.59,14.35,0,card,C004554,100.19,0.045
ORD0000076,V00174,2023-11-19,1,111.79,5.08,4.23,0,card,C014589,107.56,0.068
ORD0000077,V00217,2023-09-16,4,39.82,5.18,5.86,0,card,C003516,33.96,0.668
ORD0000078,V00907,2023-11-28,6,84.89,0.98,3.34,0,wallet,C000520,81.55,0.293
