vendor_id,vendor_name,country,city,cuisine_type,vendor_tier,rating,avg_prep_time_min,is_active,total_orders,avg_order_value,avg_discount,avg_affordability_score,avg_delivery_fee,total_revenue,unique_customers,avg_items_per_order,affordability_segment,performance_tier
V00963,Restaurant_963,Saudi Arabia,Dhaka,Italian,Premium,4.6,35,True,53,62.79,7.47,0.477,3.04,2931.77,53,4.0,Mid Affordability,Low Performer
V00346,Restaurant_346,Germany,Istanbul,Indian,Standard,2.8,29,True,42,63.26,6.52,0.473,2.76,2382.81,42,3.9,Mid Affordability,Low Performer
V00236,Restaurant_236,UAE,Riyadh,Fast Food,Standard,3.8,27,True,39,61.16,8.64,0.49,3.31,2048.36,39,3.8,Mid Affordability,Low Performer
V00834,Restaurant_834,Bosnia,Istanbul,Fast Food,Standard,2.7,31,True,47,61.25,7.64,0.49,3.07,2519.85,47,3.9,Mid Affordability,Low Performer
V00609,Restaurant_609,Turkey,Riyadh,Italian,Standard,4.2,26,True,38,63.69,7.54,0.469,3.0,2133.57,38,4.3,Mid Affordability,Low Performer
V00031,Restaurant_31,Saudi Arabia,Dhaka,Italian,Budget,3.5,43,True,62,63.65,6.86,0.47,2.92,3520.96,62,4.1,Mid Affordability,Low Performer
V00797,Restaurant_797,Saudi Arabia,Istanbul,Italian,Standard,4.0,31,True,47,62.94,7.07,0.475,3.42,2626.02,46,3.7,Mid Affordability,Low Performer
V00502,Restaurant_502,Bangladesh,Taipei,Fast Food,Premium,3.4,28,True,54,67.49,8.08,0.438,2.73,3208.12,54,4.0,Mid Affordability,Low Performer
V00093,Restaurant_93,Saudi Arabia,Istanbul,Mexican,Standard,4.5,17,True,49,62.6,7.16,0.478,3.11,2716.38,49,4.1,Mid Affordability,Low Performer
V00159,Restaurant_159,Bangladesh,Berlin,Turkish,Premium,3.0,26,True,36,64.74,7.77,0.46,3.14,2050.96,36,4.2,Mid Affordability,Low Performer
V00988,Restaurant_988,Bangladesh,Dubai,Fast Food,Standard,4.1,22,True,53,67.99,8.28,0.433,3.11,3164.64,53,3.6,Mid Affordability,Low Performer
V00842,Restaurant_842,Bangladesh,Dubai,Italian,Premium,4.1,12,True,47,63.91,5.47,0.467,2.98,2746.85,46,4.1,Mid Affordability,Low Performer
V00314,Restaurant_314,UAE,Dhaka,Turkish,Premium,3.2,25,True,39,73.71,9.71,0.386,3.34,2496.06,39,3.9,Low Affordability,Low Performer
V00117,Restaurant_117,Germany,Riyadh,Turkish,Standard,2.7,26,True,43,66.94,7.86,0.442,3.08,2540.65,43,3.5,Mid Affordability,Low Performer
V00105,Restaurant_105,Bangladesh,Sarajevo,Italian,Budget,2.6,35,True,53,68.78,7.54,0.427,2.65,3245.77,53,4.3,Mid Affordability,Low Performer
V00540,Restaurant_540,Bosnia,Sarajevo,Dessert,Standard,2.8,28,True,56,68.8,7.25,0.427,2.97,3446.87,56,3.9,Mid Affordability,Low Performer
V00243,Restaurant_243,Saudi Arabia,Taipei,Indian,Standard,4.4,19,True,50,58.95,8.19,0.509,2.67,2538.09,50,4.0,Mid Affordability,Low Performer
V00869,Restaurant_869,Germany,Berlin,Indian,Premium,4.1,23,True,53,67.28,7.18,0.439,2.87,3185.26,53,4.1,Mid Affordability,Low Performer
V00391,Restaurant_391,Bangladesh,Berlin,Mexican,Budget,3.3,16,True,37,64.65,7.85,0.461,2.99,2101.59,37,4.3,Mid Affordability,Low Performer
V00069,Restaurant_69,Saudi Arabia,Berlin,Italian,Premium,4.4,37,False,47,59.39,7.83,0.505,2.42,2423.33,47,4.2,Mid Affordability,Low Performer
V00390,Restaurant_390,UAE,Istanbul,Asian,Budget,4.5,17,True,31,64.58,8.74,0.462,3.09,1731.1,31,4.0,Mid Affordability,Low Performer
V00899,Restaurant_899,Bosnia,Taipei,Healthy,Budget,3.3,21,False,53,63.03,6.61,0.475,2.97,2990.28,53,3.7,Mid Affordability,Low Performer
V00092,Restaurant_92,Turkey,Dhaka,Indian,Budget,5.0,34,True,39,54.72,7.99,0.544,3.02,1822.59,39,3.9,Mid Affordability,Low Performer
V00523,Restaurant_523,Turkey,Riyadh,Asian,Budget,4.5,37,True,47,59.3,7.64,0.506,2.9,2427.89,45,3.9,Mid Affordability,Low Performer
V00986,Restaurant_986,Turkey,Sarajevo,Indian,Standard,3.0,18,True,42,63.14,6.72,0.474,2.9,2369.55,42,3.6,Mid Affordability,Low Performer
V00558,Restaurant_558,Bosnia,Sarajevo,Turkish,Premium,3.3,37,False,53,71.88,7.0,0.401,3.09,3439.01,53,4.3,Mid Affordability,Low Performer
V00693,Restaurant_693,Bangladesh,Taipei,Italian,Premium,3.6,20,True,42,56.43,7.23,0.53,3.41,2066.35,42,3.6,Mid Affordability,Low Performer
V00702,Restaurant_702,UAE,Istanbul,Asian,Premium,4.7,24,True,51,62.15,8.85,0.482,3.16,2718.63,51,3.7,Mid Affordability,Low Performer
